자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,496,95,7605690,7218161,114.53662429974098,108.70069574122041
강동구,360,22,2769288,2702980,86.33789555728761,84.27061574434919
강북구,412,67,4619962,4476588,123.00545807928859,119.18815729918262
강서구,566,48,4599504,4573299,83.86827613872579,83.39044892600562
관악구,465,81,6780412,6924027,130.90356584358167,133.67621676931097
광진구,270,43,2672110,2654306,105.74656693972852,105.04198820689382
구로구,481,78,4846677,4647336,113.27187529213798,108.61306908479013
금천구,346,57,3724507,3540551,119.29875080076874,113.40650224215247
노원구,514,58,3973240,3922938,77.2943739786787,76.31581199906623
도봉구,358,47,3152870,3057690,98.68755477651183,95.70833855014398
동대문구,306,74,4996165,4880047,117.10219149185515,114.38056955349818
동작구,435,91,4660301,4495937,103.85766179354609,100.1947093956142
마포구,554,99,4974656,4697145,93.15311873864763,87.95657547328801
서대문구,453,107,5552542,5461283,99.06231824588322,97.43417601826907
서초구,598,97,6600195,6386910,105.63016132129825,102.21672748223546
성동구,430,60,2635024,2585403,84.12425374325575,82.5400823675893
성북구,595,100,5736420,5712621,106.30086724482989,105.85985101178564
송파구,419,60,5357976,5324379,96.34741328154502,95.7432702163241
양천구,319,55,3938122,3775622,92.60721928277484,88.78593768371546
영등포구,463,99,5603907,5652432,110.91793836470518,111.87839201947628
용산구,321,66,3846637,3764741,112.33352802032532,109.94191513594019
은평구,497,72,4826043,4722437,92.1897839500277,90.21064394735335
종로구,345,103,4962972,4787384,116.75108800489308,112.62048036886307
중구,172,101,3494802,3333162,109.53431956371843,104.4681878016674
중랑구,380,50,3643468,3590979,78.15581964048222,77.029881161783
