동별(2),소계,남자,여자,65세이상고령인
종로구,141379,68395,72984,27958
중구,120437,58563,61874,25055
용산구,218650,105087,113563,39037
성동구,281000,136633,144367,47720
광진구,337416,162541,174875,54071
동대문구,336644,165755,170889,64468
중랑구,385318,189537,195781,74920
성북구,430397,206961,223436,77475
강북구,293660,142567,151093,66307
도봉구,311694,151398,160296,66998
노원구,503734,242145,261589,92040
은평구,466746,222592,244154,89650
서대문구,306337,145816,160521,55996
마포구,364638,171043,193595,55914
양천구,440881,215682,225199,72393
강서구,569166,273203,295963,97128
구로구,395315,194274,201041,75890
금천구,229642,115786,113856,42928
영등포구,375675,184660,191015,64810
동작구,380596,184030,196566,68231
관악구,486752,244748,242004,82447
서초구,404325,193159,211166,62347
강남구,529102,253072,276030,81715
송파구,658801,317180,341621,103573
강동구,460067,225221,234846,78340
